Year ,Region ,Method                                                                     ,value               ,Market                                         ,score                   ,score_direct            ,total_score         ,total_score_direct
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater ecotoxicity', 'FETPinf')"       ,17.3480724          ,"market group for electricity, low voltage"    ,0.02923029217796998     ,3.249443273754571e-07   ,141984982993.44153  ,1578404.160838045
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater eutrophication', 'FEP')"        ,17.3480724          ,"market group for electricity, low voltage"    ,5.386097818234436e-05   ,4.911645268253501e-10   ,261627561.7317965   ,2385.8121760698164
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'human toxicity', 'HTPinf')"                ,17.3480724          ,"market group for electricity, low voltage"    ,0.05675363556739869     ,0.00047636973923957795  ,275678530060.2053   ,2313947083.1392493
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'ionising radiation', 'IRP_HE')"            ,17.3480724          ,"market group for electricity, low voltage"    ,0.1178716657602101      ,0.01998990895929488     ,572556933624.6832   ,97100188610.67174
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'marine ecotoxicity', 'METPinf')"           ,17.3480724          ,"market group for electricity, low voltage"    ,0.02515578411948991     ,6.016387750449273e-06   ,122193221971.43074  ,29224364.478754796
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'marine eutrophication', 'MEP')"            ,17.3480724          ,"market group for electricity, low voltage"    ,2.4627729781139748e-05  ,1.7746151337526765e-06  ,119628219.00143757  ,8620122.510293592
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'metal depletion', 'MDP')"                  ,17.3480724          ,"market group for electricity, low voltage"    ,0.016127414912615844    ,0.0                     ,78338277228.09181   ,0.0
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'natural land transformation', 'NLTP')"     ,17.3480724          ,"market group for electricity, low voltage"    ,-6.453128486867034e-06  ,-3.9366931442348254e-07 ,-31345815.255068094 ,-1912233.055117543
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'ozone depletion', 'ODPinf')"               ,17.3480724          ,"market group for electricity, low voltage"    ,2.04115392693691e-09    ,0.0                     ,9914.824109132831   ,0.0
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'particulate matter formation', 'PMFP')"    ,17.3480724          ,"market group for electricity, low voltage"    ,8.970128333768747e-05   ,2.2035994792693297e-05  ,435720420.1602325   ,107038969.25950657
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'photochemical oxidant formation', 'POFP')" ,17.3480724          ,"market group for electricity, low voltage"    ,0.00015824934020530382  ,4.007730360070482e-05   ,768689883.1174756   ,194673910.0493062
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial acidification', 'TAP100')"     ,17.3480724          ,"market group for electricity, low voltage"    ,0.00016614511969916047  ,3.7755710330377194e-05  ,807043318.3253565   ,183396862.9709472
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial ecotoxicity', 'TETPinf')"      ,17.3480724          ,"market group for electricity, low voltage"    ,1.9106021685718267e-05  ,6.106367783863503e-07   ,92806741.29434694   ,2966143.891633765
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'urban land occupation', 'ULOP')"           ,17.3480724          ,"market group for electricity, low voltage"    ,0.006144080939853341    ,8.27460918830266e-07    ,29844629073.29002   ,4019358.5398506336
2030 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'water depletion', 'WDP')"                  ,17.3480724          ,"market group for electricity, low voltage"    ,0.000795757027971401    ,0.0005663163944880788   ,3865358149.5358734  ,2750859387.608123
2040 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'agricultural land occupation', 'ALOP')"    ,22.945745600000002  ,"market group for electricity, low voltage"    ,0.00400832389394425     ,0.0012844347675794576   ,25752714498.796917  ,8252247756.668542
2040 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'climate change', 'GWP100')"                ,22.945745600000002  ,"market group for electricity, low voltage"    ,0.0895973851320444      ,0.040096155076659666    ,575646065586.2318   ,257610128699.61075
2040 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'fossil depletion', 'FDP')"                 ,22.945745600000002  ,"market group for electricity, low voltage"    ,0.031782062351318856    ,0.0                     ,204193672859.8761   ,0.0
2040 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater ecotoxicity', 'FETPinf')"       ,22.945745600000002  ,"market group for electricity, low voltage"    ,0.029684513118117966    ,4.5774049857216516e-08  ,190717320155.09537  ,294089.51686951384
2040 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater eutrophication', 'FEP')"        ,22.945745600000002  ,"market group for electricity, low voltage"    ,6.176090927269718e-05   ,4.920965682539178e-11   ,396802031.41487736  ,316.1626346420482
2040 ,CHA    ,"('ReCiPe Midpoint (H) V1.13', 'human toxicity', 'HTPinf')"                ,22.945745600000002  ,"market group for electricity, low voltage"    ,0.06228136289997833     ,0.000254544721376826    ,400145846442.7707   ,1635401157.749949
